Cell Type,Value,Measurement
Neocortex basket cell,0.38,spike half-width
Neocortex basket cell,220.0,first spike latency
Neocortex basket cell,24.0,AHP amplitude
Neocortex basket cell,0.85,adaptation ratio (other)
Neocortex basket cell,182.0,input resistance
Neocortex basket cell,7.7,membrane time constant
Dorsal root ganglion cell,29.0,cell diameter
Dorsal root ganglion cell,-59.0,resting membrane potential
Dorsal root ganglion cell,392.0,input resistance
Dorsal root ganglion cell,69.0,cell capacitance
Dorsal root ganglion cell,27.0,membrane time constant
Dorsal root ganglion cell,-36.0,spike threshold
Dorsal root ganglion cell,128.0,rheobase
Dorsal root ganglion cell,135.0,AHP duration
Dorsal root ganglion cell,105.0,spike amplitude
Dorsal root ganglion cell,-11.0,AHP amplitude
Neocortex pyramidal cell layer 5-6,-42.56,spike threshold
Neocortex pyramidal cell layer 5-6,726.32,rheobase
Neocortex pyramidal cell layer 5-6,11.43,membrane time constant
Neocortex pyramidal cell layer 5-6,23.31,input resistance
Neocortex pyramidal cell layer 5-6,-72.69,resting membrane potential
Neocortex pyramidal cell layer 5-6,87.46,spike amplitude
Neocortex pyramidal cell layer 5-6,0.63,spike half-width
Neocortex pyramidal cell layer 5-6,-7.77,fast AHP amplitude
Neocortex pyramidal cell layer 5-6,-12.86,slow AHP amplitude
Neostriatum medium spiny neuron,-83.5,resting membrane potential
Neostriatum medium spiny neuron,139.0,input resistance
Neostriatum medium spiny neuron,74.8,spike amplitude
Neostriatum medium spiny neuron,-33.9,spike threshold
Neostriatum medium spiny neuron,1.04,spike half-width
Neostriatum medium spiny neuron,14.5,AHP duration
Neostriatum medium spiny neuron,265.0,rheobase
Neostriatum medium spiny neuron,-12.0,AHP amplitude
Dorsal root ganglion cell,-60.5,resting membrane potential
Dorsal root ganglion cell,-29.6,spike threshold
Dorsal root ganglion cell,100.2,spike amplitude
Dorsal root ganglion cell,1.85,spike width
Dorsal root ganglion cell,0.51,rheobase
Dorsal root ganglion cell,225.0,input resistance
Dorsal root ganglion cell,-15.5,AHP amplitude
Neocortex basket cell,199.0,maximum firing rate
Neocortex basket cell,163.92,input resistance
Neocortex basket cell,0.46,spike half-width
Neocortex basket cell,0.16,rheobase
Neocortex basket cell,-30.57,spike threshold
Neocortex basket cell,-67.88,resting membrane potential
Neocortex basket cell,11.83,membrane time constant
Neocortex basket cell,0.78,adaptation ratio
Neocortex basket cell,273.28,FI slope
Neostriatum medium spiny neuron,-81.0,resting membrane potential
Neostriatum medium spiny neuron,15.6,membrane time constant
Neostriatum medium spiny neuron,-43.9,spike threshold
Neostriatum medium spiny neuron,64.3,spike amplitude
Neostriatum medium spiny neuron,0.85,spike half-width
Neostriatum medium spiny neuron,0.7,rheobase
Neostriatum medium spiny neuron,15.5,AHP amplitude
Cerebellar nucleus cell,0.61,input resistance
Cerebellar nucleus cell,74.6,membrane time constant
Cerebellar nucleus cell,1.44,spike half-width
Cerebellar nucleus cell,66.43,spike amplitude
Cerebellar nucleus cell,13.6,spontaneous firing rate
Amygdaloid nucleus paracapsular intercalated cell,19.8,cell diameter
Amygdaloid nucleus paracapsular intercalated cell,14.0,cell diameter
Amygdaloid nucleus paracapsular intercalated cell,270.0,input resistance
Amygdaloid nucleus paracapsular intercalated cell,22.0,membrane time constant
Amygdaloid nucleus paracapsular intercalated cell,0.083,cell capacitance
Amygdaloid nucleus paracapsular intercalated cell,0.83,sag ratio
Amygdaloid nucleus paracapsular intercalated cell,82.0,spike amplitude
Amygdaloid nucleus paracapsular intercalated cell,-16.0,AHP amplitude
Amygdaloid nucleus paracapsular intercalated cell,0.6,spike width
Neocortex pyramidal cell layer 5-6,114.36,input resistance
Neocortex pyramidal cell layer 5-6,9.09,membrane time constant
Neocortex pyramidal cell layer 5-6,184.21,rheobase
Neocortex pyramidal cell layer 5-6,-46.26,spike threshold
Neocortex pyramidal cell layer 5-6,88.86,spike amplitude
Neocortex pyramidal cell layer 5-6,0.881,spike half-width
Neocortex pyramidal cell layer 5-6,7.48,sag ratio
Neocortex pyramidal cell layer 5-6,-71.2,resting membrane potential
Neocortex pyramidal cell layer 5-6,363.4,input resistance
Neocortex pyramidal cell layer 5-6,105.5,cell capacitance
Neocortex pyramidal cell layer 5-6,90.9,rheobase
Neocortex pyramidal cell layer 5-6,-40.7,spike threshold
Neocortex pyramidal cell layer 5-6,1.58,spike half-width
Neocortex pyramidal cell layer 5-6,85.9,spike amplitude
Neocortex pyramidal cell layer 5-6,-54.3,AHP voltage
Spinal cord ventral horn interneuron V2,-47.0,resting membrane potential
Spinal cord ventral horn interneuron V2,1590.0,input resistance
Spinal cord ventral horn interneuron V2,55.0,membrane time constant
Spinal cord ventral horn interneuron V2,45.0,cell capacitance
Spinal cord ventral horn interneuron V2,14.0,rheobase
Spinal cord ventral horn interneuron V2,53.0,spike amplitude
Spinal cord ventral horn interneuron V2,-42.0,spike threshold
Spinal cord ventral horn interneuron V2,19.0,spike peak
Hippocampus CA1 pyramidal cell,-69.9,resting membrane potential
Hippocampus CA1 pyramidal cell,35.4,input resistance
Hippocampus CA1 pyramidal cell,-58.9,spike threshold
Hippocampus CA1 pyramidal cell,92.0,spike amplitude
Hippocampus CA1 pyramidal cell,0.83,spike half-width
Hippocampus CA1 pyramidal cell,-60.1,fast AHP voltage
Neostriatum medium spiny neuron,0.05,firing frequency
Neostriatum medium spiny neuron,28.3,input resistance
Neostriatum medium spiny neuron,64.1,spike amplitude
Neostriatum medium spiny neuron,1.1,spike width
Neostriatum medium spiny neuron,-43.4,spike threshold
Neostriatum medium spiny neuron,20.7,spike peak
Neostriatum medium spiny neuron,-14.0,AHP amplitude
Neostriatum medium spiny neuron,-13.5,AHP amplitude
Neostriatum medium spiny neuron,1.82,spike width
Neostriatum medium spiny neuron,40.4,spike amplitude
Neostriatum medium spiny neuron,-37.7,spike threshold
Neostriatum medium spiny neuron,670.0,input resistance
Neostriatum medium spiny neuron,-72.0,resting membrane potential
Neostriatum medium spiny neuron,7.6,cell diameter
Suprachiasmatic nucleus neuron,-56.0,resting membrane potential
Suprachiasmatic nucleus neuron,1.29,input resistance
Suprachiasmatic nucleus neuron,28.6,membrane time constant
Suprachiasmatic nucleus neuron,-40.6,spike threshold
Suprachiasmatic nucleus neuron,1.51,spike half-width
Suprachiasmatic nucleus neuron,-21.3,AHP amplitude
Suprachiasmatic nucleus neuron,74.7,spike amplitude from resting
Suprachiasmatic nucleus neuron,3.02,spontaneous firing rate
Dentate gyrus granule cell,-73.8,resting membrane potential
Dentate gyrus granule cell,351.3,input resistance
Dentate gyrus granule cell,93.3,cell capacitance
Dentate gyrus granule cell,56.3,firing frequency
Dentate gyrus granule cell,-37.3,spike threshold
Dentate gyrus granule cell,1.55,spike half-width
Dentate gyrus granule cell,-4.1,fast AHP amplitude
Dentate gyrus granule cell,-3.7,slow AHP amplitude
Neocortex Martinotti cell,-54.5,resting membrane potential
Neocortex Martinotti cell,36.4,membrane time constant
Neocortex Martinotti cell,92.1,cell capacitance
Neocortex Martinotti cell,1.98,spike half-width
Neocortex Martinotti cell,64.0,spike amplitude
Neocortex Martinotti cell,16.9,rheobase
Hippocampus CA1 pyramidal cell,-58.45,resting membrane potential
Hippocampus CA1 pyramidal cell,43.53,input resistance
Hippocampus CA1 pyramidal cell,25.08,membrane time constant
Hippocampus CA1 pyramidal cell,-34.63,spike threshold
Hippocampus CA1 pyramidal cell,3.44,spike width
Hippocampus CA1 pyramidal cell,-59.54,resting membrane potential
Hippocampus CA1 pyramidal cell,45.5,input resistance
Hippocampus CA1 pyramidal cell,29.75,membrane time constant
Hippocampus CA1 pyramidal cell,-40.49,spike threshold
Hippocampus CA1 pyramidal cell,3.32,spike width
Hippocampus CA1 pyramidal cell,-57.33,resting membrane potential
Hippocampus CA1 pyramidal cell,42.05,input resistance
Hippocampus CA1 pyramidal cell,26.36,membrane time constant
Hippocampus CA1 pyramidal cell,-35.85,spike threshold
Hippocampus CA1 pyramidal cell,3.35,spike width
Neocortex pyramidal cell layer 2-3,-78.56,resting membrane potential
Neocortex pyramidal cell layer 2-3,16.0,membrane time constant
Neocortex pyramidal cell layer 2-3,-37.7,spike threshold
Neocortex pyramidal cell layer 2-3,67.8,spike amplitude
Neocortex pyramidal cell layer 2-3,1.42,spike half-width
Neocortex pyramidal cell layer 2-3,-13.3,AHP amplitude
Neocortex pyramidal cell layer 2-3,1.18,adaptation ratio (last/first ISI)
Other,153.7,input resistance
Other,19.0,membrane time constant
Other,-45.6,spike threshold
Other,1.11,spike half-width
Other,0.73,adaptation ratio (1 – first/last ISI)
Other,-67.0,resting membrane potential
Other,-39.3,spike threshold
Other,456.9,input resistance
Other,9.1,FI slope
Other,8.8,AHP amplitude
Thalamic reticular nucleus cell,-75.9,resting membrane potential
Thalamic reticular nucleus cell,273.8,input resistance
Thalamic reticular nucleus cell,67.4,spike amplitude
Thalamic reticular nucleus cell,0.19,spike half-width
Thalamic reticular nucleus cell,-47.5,spike threshold
Thalamic reticular nucleus cell,-22.3,fast AHP amplitude
Neostriatum medium spiny neuron,-74.0,resting membrane potential
Neostriatum medium spiny neuron,383.0,input resistance
Neostriatum medium spiny neuron,-34.5,spike threshold
Neostriatum medium spiny neuron,42.4,spike amplitude
Neostriatum medium spiny neuron,1.3,spike half-width
Neostriatum medium spiny neuron,-18.5,AHP voltage
Neostriatum medium spiny neuron,3.24,AHP duration
Amygdaloid nucleus paracapsular intercalated cell,705.0,input resistance
Amygdaloid nucleus paracapsular intercalated cell,21.65,membrane time constant
Amygdaloid nucleus paracapsular intercalated cell,0.038,cell capacitance
Amygdaloid nucleus paracapsular intercalated cell,0.92,sag ratio
Amygdaloid nucleus paracapsular intercalated cell,82.33,spike amplitude
Amygdaloid nucleus paracapsular intercalated cell,-9.47,AHP amplitude
Amygdaloid nucleus paracapsular intercalated cell,0.8,spike width
Neocortex uncharacterized cell,-57.8,resting membrane potential
Neocortex uncharacterized cell,39.6,input resistance
Neocortex uncharacterized cell,1.1,spike half-width
Neocortex uncharacterized cell,54.5,AHP duration
Neocortex uncharacterized cell,-7.9,AHP amplitude
Neocortex uncharacterized cell,0.54,spontaneous firing rate
Locus coeruleus noradrenergic neuron,-58.5,resting membrane potential
Locus coeruleus noradrenergic neuron,327.0,input resistance
Locus coeruleus noradrenergic neuron,-37.0,spike threshold
Locus coeruleus noradrenergic neuron,60.0,spike amplitude
Locus coeruleus noradrenergic neuron,124.0,AHP duration
Locus coeruleus noradrenergic neuron,1.0,spontaneous firing rate
Locus coeruleus noradrenergic neuron,23.0,AHP amplitude
Neostriatum medium spiny neuron,22.1,spike peak
Neostriatum medium spiny neuron,1.2,spike width
Neostriatum medium spiny neuron,70.0,spike amplitude
Neostriatum medium spiny neuron,34.3,input resistance
Neostriatum medium spiny neuron,0.54,firing frequency
Neostriatum medium spiny neuron,-47.5,spike threshold
Neostriatum medium spiny neuron,-12.5,AHP amplitude
Neocortex Martinotti cell,54.97,spike amplitude
Neocortex Martinotti cell,3.45,spike width
Neocortex Martinotti cell,1.57,spike half-width
Neocortex Martinotti cell,254.44,input resistance
Neocortex Martinotti cell,17.57,membrane time constant
Neocortex Martinotti cell,-46.09,spike threshold
Neocortex Martinotti cell,1693.9,slow AHP duration
Dorsal root ganglion cell,37.0,cell capacitance
Dorsal root ganglion cell,389.0,input resistance
Dorsal root ganglion cell,1.6,spike width
Dorsal root ganglion cell,108.0,rheobase
Dorsal root ganglion cell,-70.0,spike peak
Medial Nucleus of Trapezoid Body neuron,65.9,resting membrane potential
Medial Nucleus of Trapezoid Body neuron,169.0,input resistance
Medial Nucleus of Trapezoid Body neuron,-81.9,AHP voltage
Medial Nucleus of Trapezoid Body neuron,0.9,spike half-width
Medial Nucleus of Trapezoid Body neuron,8.6,first spike latency
Hypoglossal nucleus motor neuron,-59.0,resting membrane potential
Hypoglossal nucleus motor neuron,111.0,input resistance
Hypoglossal nucleus motor neuron,21.0,spike threshold
Hypoglossal nucleus motor neuron,69.0,spike amplitude
Hypoglossal nucleus motor neuron,3.7,spike width
Hypoglossal nucleus motor neuron,-27.0,AHP amplitude
Spinal cord ventral horn motor neuron alpha,2.0,input resistance
Spinal cord ventral horn motor neuron alpha,7.3,rheobase
Spinal cord ventral horn motor neuron alpha,6.2,membrane time constant
Spinal cord ventral horn motor neuron alpha,-60.4,resting membrane potential
Spinal cord ventral horn motor neuron alpha,73.5,spike amplitude
Spinal cord ventral horn motor neuron alpha,61.7,spike amplitude
Spinal cord ventral horn motor neuron alpha,1.8,AHP amplitude
Trigeminal nucleus principal cell,0.61,input resistance
Trigeminal nucleus principal cell,-60.6,resting membrane potential
Trigeminal nucleus principal cell,1.2,spike half-width
Trigeminal nucleus principal cell,49.7,spike amplitude
Trigeminal nucleus principal cell,-32.9,spike threshold
Trigeminal nucleus principal cell,16.6,cell capacitance
Neocortex basket cell,88.0,spike amplitude
Neocortex basket cell,-40.5,spike threshold
Neocortex basket cell,0.54,spike half-width
Neocortex basket cell,18.2,AHP amplitude
Neocortex basket cell,20.9,first spike latency
Other,-46.0,spike threshold
Other,108.0,input resistance
Other,-62.0,resting membrane potential
Other,50.0,spike amplitude
Other,131.0,AHP duration
Other,19.0,AHP amplitude
Hippocampus CA3 pyramidal cell,-72.6,resting membrane potential
Hippocampus CA3 pyramidal cell,79.8,input resistance
Hippocampus CA3 pyramidal cell,-55.5,spike threshold
Hippocampus CA3 pyramidal cell,74.5,spike amplitude
Hippocampus CA3 pyramidal cell,4.5,fast AHP amplitude
Dorsal root ganglion cell,-27.79,spike threshold
Dorsal root ganglion cell,0.9,rheobase
Dorsal root ganglion cell,4.49,AHP duration
Dorsal root ganglion cell,56.1,spike amplitude
Dorsal root ganglion cell,3.26,spike width
Dorsal root ganglion cell,15.51,AHP amplitude
Neocortex pyramidal cell layer 2-3,1.1,spike half-width
Neocortex pyramidal cell layer 2-3,47.0,input resistance
Neocortex pyramidal cell layer 2-3,79.0,spike amplitude from resting
Neocortex pyramidal cell layer 2-3,31.3,input resistance
Neocortex pyramidal cell layer 2-3,7.2,membrane time constant
Neocortex pyramidal cell layer 2-3,-72.7,resting membrane potential
Neocortex pyramidal cell layer 2-3,1.56,spike half-width
Neocortex pyramidal cell layer 2-3,-48.5,spike threshold
Spinal cord ventral horn interneuron Renshaw,574.8,input resistance
Spinal cord ventral horn interneuron Renshaw,39.2,cell capacitance
Spinal cord ventral horn interneuron Renshaw,53.6,rheobase
Spinal cord ventral horn interneuron Renshaw,2.7,spike half-width
Spinal cord ventral horn interneuron Renshaw,17.4,AHP amplitude
Neocortex layer 4 stellate cell,-60.32,resting membrane potential
Neocortex layer 4 stellate cell,128.3,input resistance
Neocortex layer 4 stellate cell,-36.91,spike threshold
Neocortex layer 4 stellate cell,40.93,AHP duration
Neocortex layer 4 stellate cell,107.1,rheobase
Neocortex layer 4 stellate cell,-9.11,AHP amplitude
Neocortex uncharacterized cell,9.0,spontaneous firing rate
Neocortex uncharacterized cell,10.38,spike width
Spinal cord ventral horn interneuron V2,14.8,rheobase
Spinal cord ventral horn interneuron V2,26.7,spike amplitude
Spinal cord ventral horn interneuron V2,2.4,spike half-width
Spinal cord ventral horn interneuron V2,-32.2,spike threshold
Spinal cord ventral horn interneuron V2,18.7,AHP amplitude
Neocortex uncharacterized cell,-53.0,resting membrane potential
Neocortex uncharacterized cell,330.0,input resistance
Neocortex uncharacterized cell,103.0,rheobase
Neocortex uncharacterized cell,1.1,spike half-width
Neocortex uncharacterized cell,-38.0,spike threshold
Neocortex uncharacterized cell,49.0,spike peak
Neocortex uncharacterized cell,-55.0,resting membrane potential
Neocortex uncharacterized cell,295.0,input resistance
Neocortex uncharacterized cell,102.0,rheobase
Neocortex uncharacterized cell,1.2,spike half-width
Neocortex uncharacterized cell,-39.0,spike threshold
Neocortex basket cell,66.0,spike amplitude
Neocortex basket cell,-32.9,spike threshold
Neocortex basket cell,13.9,membrane time constant
Neocortex basket cell,246.0,input resistance
Neocortex basket cell,-68.4,resting membrane potential
Neocortex basket cell,0.7,spike half-width
Neocortex bipolar neuron,1.7,spike width
Neocortex bipolar neuron,7.5,AHP amplitude
Neocortex bipolar neuron,8.9,AHP amplitude
Neocortex bipolar neuron,1.6,spike width
Neocortex bipolar neuron,62.2,spike amplitude
Neocortex bipolar neuron,65.5,spike amplitude
Neocortex bipolar neuron,43.8,spike threshold
Neocortex bipolar neuron,67.1,resting membrane potential
Neocortex bipolar neuron,358.0,input resistance
Dentate gyrus granule cell,7.48,membrane time constant
Dentate gyrus granule cell,81.9,input resistance
Dentate gyrus granule cell,-75.5,resting membrane potential
Dentate gyrus granule cell,77.5,spike amplitude
Dentate gyrus granule cell,-46.7,spike threshold
Dentate gyrus granule cell,2.11,spike width
Subiculum pyramidal cell,-73.4,resting membrane potential
Subiculum pyramidal cell,57.5,input resistance
Subiculum pyramidal cell,93.9,spike amplitude
Subiculum pyramidal cell,0.72,spike half-width
Inferior olive neuron,103.8,spike amplitude
Inferior olive neuron,11.5,spike width
Inferior olive neuron,-50.0,resting membrane potential
Inferior olive neuron,11.3,membrane time constant
Inferior olive neuron,69.0,input resistance
Neostriatum medium spiny neuron,39.9,spike amplitude
Neostriatum medium spiny neuron,-34.3,spike threshold
Neostriatum medium spiny neuron,15.9,AHP duration
Neostriatum medium spiny neuron,233.0,input resistance
Neostriatum medium spiny neuron,208.0,first spike latency
Neostriatum medium spiny neuron,-12.6,AHP amplitude
Hippocampus CA1 radiatum giant cell,86.0,input resistance
Hippocampus CA1 radiatum giant cell,50.0,membrane time constant
Hippocampus CA1 radiatum giant cell,-63.0,resting membrane potential
Hippocampus CA1 radiatum giant cell,-31.0,spike threshold
Hippocampus CA1 radiatum giant cell,1.9,spike half-width
Dorsal root ganglion cell,23.6,cell diameter
Dorsal root ganglion cell,28.2,cell capacitance
Dorsal root ganglion cell,-53.5,resting membrane potential
Dorsal root ganglion cell,-21.4,spike threshold
Dorsal root ganglion cell,7.9,spike width
Cerebellum granule cell,3.9,cell capacitance
Cerebellum granule cell,-92.5,resting membrane potential
Cerebellum granule cell,-42.4,spike threshold
Cerebellum granule cell,22.5,spike peak
DRG temperature cell,18.8,cell diameter
DRG temperature cell,-53.0,resting membrane potential
DRG temperature cell,93.2,spike amplitude
DRG temperature cell,4.4,AHP amplitude from resting
Spinal cord ventral horn interneuron II,-62.8,resting membrane potential
Spinal cord ventral horn interneuron II,424.0,input resistance
Spinal cord ventral horn interneuron II,46.2,cell capacitance
Spinal cord ventral horn interneuron II,135.0,rheobase
Spinal cord ventral horn interneuron II,45.3,spike amplitude
Spinal cord ventral horn interneuron II,-43.8,spike threshold
Medial vestibular nucleus neuron,-61.5,resting membrane potential
Medial vestibular nucleus neuron,-47.3,spike threshold
Medial vestibular nucleus neuron,63.5,spike amplitude
Medial vestibular nucleus neuron,1.83,spike width
Medial vestibular nucleus neuron,20.8,AHP amplitude
Medial vestibular nucleus neuron,-61.2,resting membrane potential
Medial vestibular nucleus neuron,-46.0,spike threshold
Medial vestibular nucleus neuron,71.2,spike amplitude
Medial vestibular nucleus neuron,1.57,spike width
Medial vestibular nucleus neuron,22.4,AHP amplitude
Medial vestibular nucleus neuron,-53.2,resting membrane potential
Medial vestibular nucleus neuron,-42.3,spike threshold
Medial vestibular nucleus neuron,51.8,spike amplitude
Medial vestibular nucleus neuron,0.79,spike width
Medial vestibular nucleus neuron,17.8,AHP amplitude
DRG temperature cell,424.0,input resistance
DRG temperature cell,-60.0,resting membrane potential
DRG temperature cell,0.82,spike half-width
Nucleus accumbens medium spiny neuron,-93.5,resting membrane potential
Nucleus accumbens medium spiny neuron,-46.4,spike threshold
Nucleus accumbens medium spiny neuron,68.5,spike amplitude
Nucleus accumbens medium spiny neuron,1.3,spike half-width
Nucleus accumbens medium spiny neuron,9.4,AHP amplitude
Hypoglossal nucleus motor neuron,-53.2,resting membrane potential
Hypoglossal nucleus motor neuron,-27.4,spike threshold
Hypoglossal nucleus motor neuron,309.0,rheobase
Hypoglossal nucleus motor neuron,351.0,rheobase
Hypoglossal nucleus motor neuron,78.6,input resistance
Hypoglossal nucleus motor neuron,0.05,FI slope
Dentate gyrus granule cell,8.1,membrane time constant
Dentate gyrus granule cell,305.0,input resistance
Dentate gyrus granule cell,27.4,cell capacitance
Dentate gyrus granule cell,-42.0,spike threshold
Trigeminal nucleus motor neuron,0.84,rheobase
Trigeminal nucleus motor neuron,17.8,input resistance
Trigeminal nucleus motor neuron,6.7,membrane time constant
Trigeminal nucleus motor neuron,60.4,spike amplitude
Trigeminal nucleus motor neuron,-63.5,resting membrane potential
Hypoglossal nucleus motor neuron,-67.1,resting membrane potential
Hypoglossal nucleus motor neuron,9.3,input resistance
Hypoglossal nucleus motor neuron,97.3,spike amplitude
Hypoglossal nucleus motor neuron,9.1,ADP amplitude
Dentate gyrus granule cell,310.0,input resistance
Dentate gyrus granule cell,22.0,membrane time constant
Dentate gyrus granule cell,-32.0,spike threshold
Dentate gyrus granule cell,-71.0,resting membrane potential
Medial vestibular nucleus neuron,226.0,input resistance
Medial vestibular nucleus neuron,-45.7,resting membrane potential
Medial vestibular nucleus neuron,-35.5,spike threshold
Medial vestibular nucleus neuron,0.8,spike half-width
Medial vestibular nucleus neuron,15.7,AHP amplitude
Neocortex basket cell,16.0,access resistance
Neocortex basket cell,258.0,input resistance
Neocortex basket cell,115.0,cell capacitance
Neocortex basket cell,-59.1,resting membrane potential
Neocortex basket cell,-22.4,AHP amplitude
Dorsal root ganglion cell,355.0,input resistance
Dorsal root ganglion cell,65.0,spike amplitude
Dorsal root ganglion cell,-39.7,spike threshold
DRG temperature cell,340.0,input resistance
DRG temperature cell,-56.0,resting membrane potential
DRG temperature cell,52.0,rheobase
DRG temperature cell,98.0,spike amplitude
Dorsal root ganglion cell,317.0,input resistance
Dorsal root ganglion cell,-56.0,resting membrane potential
Dorsal root ganglion cell,58.0,rheobase
Dorsal root ganglion cell,101.0,spike amplitude
Dorsal root ganglion cell,24.1,cell diameter
Dorsal root ganglion cell,30.4,cell capacitance
Dorsal root ganglion cell,-54.5,resting membrane potential
Dorsal root ganglion cell,-21.1,spike threshold
Dorsal root ganglion cell,34.1,cell diameter
Dorsal root ganglion cell,47.2,cell capacitance
Dorsal root ganglion cell,-57.2,resting membrane potential
Dorsal root ganglion cell,-29.3,spike threshold
Dorsal root ganglion cell,8.1,spike width
Dorsal root ganglion cell,5.2,spike width
Hippocampus CA1 pyramidal cell,-60.1,resting membrane potential
Hippocampus CA1 pyramidal cell,111.0,input resistance
Hippocampus CA1 pyramidal cell,13.2,access resistance
Hippocampus CA1 pyramidal cell,1.52,spike half-width
Hippocampus CA1 pyramidal cell,-46.2,spike threshold
Locus coeruleus noradrenergic neuron,-45.9,spike threshold
Locus coeruleus noradrenergic neuron,71.7,spike amplitude
Locus coeruleus noradrenergic neuron,2.0,spike width
Locus coeruleus noradrenergic neuron,20.4,AHP amplitude
Neostriatum medium spiny neuron,341.0,input resistance
Neostriatum medium spiny neuron,61.5,spike amplitude
Neostriatum medium spiny neuron,1.51,spike half-width
Neostriatum medium spiny neuron,379.0,first spike latency
Hippocampus CA1 pyramidal cell,-70.7,resting membrane potential
Hippocampus CA1 pyramidal cell,-50.4,spike threshold
Hippocampus CA1 pyramidal cell,1.2,spike half-width
Hippocampus CA1 pyramidal cell,42.5,spike peak
Neocortex basket cell,72.5,input resistance
Neocortex basket cell,0.53,spike half-width
Neocortex basket cell,-43.1,spike threshold
Neocortex basket cell,-66.4,resting membrane potential
Hippocampus CA1 pyramidal cell,58.9,input resistance
Hippocampus CA1 pyramidal cell,-58.7,resting membrane potential
Hippocampus CA1 pyramidal cell,83.8,spike amplitude
