,Cell Type,Value,Measurement
159,Spinal cord ventral horn interneuron V2,-47.0,resting membrane potential
160,Spinal cord ventral horn interneuron V2,1590.0,input resistance
161,Spinal cord ventral horn interneuron V2,55.0,membrane time constant
162,Spinal cord ventral horn interneuron V2,45.0,cell capacitance
163,Spinal cord ventral horn interneuron V2,14.0,rheobase
164,Spinal cord ventral horn interneuron V2,53.0,spike amplitude
165,Spinal cord ventral horn interneuron V2,-42.0,spike threshold
166,Spinal cord ventral horn interneuron V2,19.0,spike peak
167,Hippocampus CA1 pyramidal cell,-69.9,resting membrane potential
168,Hippocampus CA1 pyramidal cell,35.4,input resistance
169,Hippocampus CA1 pyramidal cell,-58.9,spike threshold
170,Hippocampus CA1 pyramidal cell,92.0,spike amplitude
171,Hippocampus CA1 pyramidal cell,0.83,spike half-width
172,Hippocampus CA1 pyramidal cell,-60.1,fast AHP voltage
173,Neostriatum medium spiny neuron,0.05,firing frequency
174,Neostriatum medium spiny neuron,28.3,input resistance
175,Neostriatum medium spiny neuron,64.1,spike amplitude
176,Neostriatum medium spiny neuron,1.1,spike width
177,Neostriatum medium spiny neuron,-43.4,spike threshold
178,Neostriatum medium spiny neuron,20.7,spike peak
179,Neostriatum medium spiny neuron,-14.0,AHP amplitude
180,Neostriatum medium spiny neuron,-13.5,AHP amplitude
181,Neostriatum medium spiny neuron,1.82,spike width
182,Neostriatum medium spiny neuron,40.4,spike amplitude
183,Neostriatum medium spiny neuron,-37.7,spike threshold
184,Neostriatum medium spiny neuron,670.0,input resistance
185,Neostriatum medium spiny neuron,-72.0,resting membrane potential
186,Neostriatum medium spiny neuron,7.6,cell diameter
187,Suprachiasmatic nucleus neuron,-56.0,resting membrane potential
188,Suprachiasmatic nucleus neuron,1.29,input resistance
189,Suprachiasmatic nucleus neuron,28.6,membrane time constant
190,Suprachiasmatic nucleus neuron,-40.6,spike threshold
191,Suprachiasmatic nucleus neuron,1.51,spike half-width
192,Suprachiasmatic nucleus neuron,-21.3,AHP amplitude
193,Suprachiasmatic nucleus neuron,74.7,spike amplitude from resting
194,Suprachiasmatic nucleus neuron,3.02,spontaneous firing rate
195,Dentate gyrus granule cell,-73.8,resting membrane potential
196,Dentate gyrus granule cell,351.3,input resistance
197,Dentate gyrus granule cell,93.3,cell capacitance
198,Dentate gyrus granule cell,56.3,firing frequency
199,Dentate gyrus granule cell,-37.3,spike threshold
200,Dentate gyrus granule cell,1.55,spike half-width
201,Dentate gyrus granule cell,-4.1,fast AHP amplitude
202,Dentate gyrus granule cell,-3.7,slow AHP amplitude
203,Neocortex Martinotti cell,-54.5,resting membrane potential
204,Neocortex Martinotti cell,36.4,membrane time constant
205,Neocortex Martinotti cell,92.1,cell capacitance
206,Neocortex Martinotti cell,1.98,spike half-width
207,Neocortex Martinotti cell,64.0,spike amplitude
208,Neocortex Martinotti cell,16.9,rheobase
209,Hippocampus CA1 pyramidal cell,-58.45,resting membrane potential
210,Hippocampus CA1 pyramidal cell,43.53,input resistance
211,Hippocampus CA1 pyramidal cell,25.08,membrane time constant
212,Hippocampus CA1 pyramidal cell,-34.63,spike threshold
213,Hippocampus CA1 pyramidal cell,3.44,spike width
214,Hippocampus CA1 pyramidal cell,-59.54,resting membrane potential
215,Hippocampus CA1 pyramidal cell,45.5,input resistance
216,Hippocampus CA1 pyramidal cell,29.75,membrane time constant
217,Hippocampus CA1 pyramidal cell,-40.49,spike threshold
218,Hippocampus CA1 pyramidal cell,3.32,spike width
219,Hippocampus CA1 pyramidal cell,-57.33,resting membrane potential
220,Hippocampus CA1 pyramidal cell,42.05,input resistance
221,Hippocampus CA1 pyramidal cell,26.36,membrane time constant
222,Hippocampus CA1 pyramidal cell,-35.85,spike threshold
223,Hippocampus CA1 pyramidal cell,3.35,spike width
224,Neocortex pyramidal cell layer 2-3,-78.56,resting membrane potential
225,Neocortex pyramidal cell layer 2-3,16.0,membrane time constant
226,Neocortex pyramidal cell layer 2-3,-37.7,spike threshold
227,Neocortex pyramidal cell layer 2-3,67.8,spike amplitude
228,Neocortex pyramidal cell layer 2-3,1.42,spike half-width
229,Neocortex pyramidal cell layer 2-3,-13.3,AHP amplitude
230,Neocortex pyramidal cell layer 2-3,1.18,adaptation ratio (last/first ISI)
231,Other,153.7,input resistance
232,Other,19.0,membrane time constant
233,Other,-45.6,spike threshold
234,Other,1.11,spike half-width
235,Other,0.73,adaptation ratio (1 – first/last ISI)
236,Other,-67.0,resting membrane potential
237,Other,-39.3,spike threshold
238,Other,456.9,input resistance
239,Other,9.1,FI slope
240,Other,8.8,AHP amplitude
241,Thalamic reticular nucleus cell,-75.9,resting membrane potential
242,Thalamic reticular nucleus cell,273.8,input resistance
243,Thalamic reticular nucleus cell,67.4,spike amplitude
244,Thalamic reticular nucleus cell,0.19,spike half-width
245,Thalamic reticular nucleus cell,-47.5,spike threshold
246,Thalamic reticular nucleus cell,-22.3,fast AHP amplitude
247,Neostriatum medium spiny neuron,-74.0,resting membrane potential
248,Neostriatum medium spiny neuron,383.0,input resistance
249,Neostriatum medium spiny neuron,-34.5,spike threshold
250,Neostriatum medium spiny neuron,42.4,spike amplitude
251,Neostriatum medium spiny neuron,1.3,spike half-width
252,Neostriatum medium spiny neuron,-18.5,AHP voltage
253,Neostriatum medium spiny neuron,3.24,AHP duration
254,Amygdaloid nucleus paracapsular intercalated cell,705.0,input resistance
255,Amygdaloid nucleus paracapsular intercalated cell,21.65,membrane time constant
256,Amygdaloid nucleus paracapsular intercalated cell,0.038,cell capacitance
257,Amygdaloid nucleus paracapsular intercalated cell,0.92,sag ratio
258,Amygdaloid nucleus paracapsular intercalated cell,82.33,spike amplitude
259,Amygdaloid nucleus paracapsular intercalated cell,-9.47,AHP amplitude
260,Amygdaloid nucleus paracapsular intercalated cell,0.8,spike width
261,Neocortex uncharacterized cell,-57.8,resting membrane potential
262,Neocortex uncharacterized cell,39.6,input resistance
263,Neocortex uncharacterized cell,1.1,spike half-width
264,Neocortex uncharacterized cell,54.5,AHP duration
265,Neocortex uncharacterized cell,-7.9,AHP amplitude
266,Neocortex uncharacterized cell,0.54,spontaneous firing rate
267,Locus coeruleus noradrenergic neuron,-58.5,resting membrane potential
268,Locus coeruleus noradrenergic neuron,327.0,input resistance
269,Locus coeruleus noradrenergic neuron,-37.0,spike threshold
270,Locus coeruleus noradrenergic neuron,60.0,spike amplitude
271,Locus coeruleus noradrenergic neuron,124.0,AHP duration
272,Locus coeruleus noradrenergic neuron,1.0,spontaneous firing rate
273,Locus coeruleus noradrenergic neuron,23.0,AHP amplitude
274,Neostriatum medium spiny neuron,22.1,spike peak
275,Neostriatum medium spiny neuron,1.2,spike width
276,Neostriatum medium spiny neuron,70.0,spike amplitude
277,Neostriatum medium spiny neuron,34.3,input resistance
278,Neostriatum medium spiny neuron,0.54,firing frequency
279,Neostriatum medium spiny neuron,-47.5,spike threshold
280,Neostriatum medium spiny neuron,-12.5,AHP amplitude
281,Neocortex Martinotti cell,54.97,spike amplitude
282,Neocortex Martinotti cell,3.45,spike width
283,Neocortex Martinotti cell,1.57,spike half-width
284,Neocortex Martinotti cell,254.44,input resistance
285,Neocortex Martinotti cell,17.57,membrane time constant
286,Neocortex Martinotti cell,-46.09,spike threshold
287,Neocortex Martinotti cell,1693.9,slow AHP duration
288,Dorsal root ganglion cell,37.0,cell capacitance
289,Dorsal root ganglion cell,389.0,input resistance
290,Dorsal root ganglion cell,1.6,spike width
291,Dorsal root ganglion cell,108.0,rheobase
292,Dorsal root ganglion cell,-70.0,spike peak
293,Medial Nucleus of Trapezoid Body neuron,65.9,resting membrane potential
294,Medial Nucleus of Trapezoid Body neuron,169.0,input resistance
295,Medial Nucleus of Trapezoid Body neuron,-81.9,AHP voltage
296,Medial Nucleus of Trapezoid Body neuron,0.9,spike half-width
297,Medial Nucleus of Trapezoid Body neuron,8.6,first spike latency
298,Hypoglossal nucleus motor neuron,-59.0,resting membrane potential
299,Hypoglossal nucleus motor neuron,111.0,input resistance
300,Hypoglossal nucleus motor neuron,21.0,spike threshold
301,Hypoglossal nucleus motor neuron,69.0,spike amplitude
302,Hypoglossal nucleus motor neuron,3.7,spike width
303,Hypoglossal nucleus motor neuron,-27.0,AHP amplitude
304,Spinal cord ventral horn motor neuron alpha,2.0,input resistance
305,Spinal cord ventral horn motor neuron alpha,7.3,rheobase
306,Spinal cord ventral horn motor neuron alpha,6.2,membrane time constant
307,Spinal cord ventral horn motor neuron alpha,-60.4,resting membrane potential
308,Spinal cord ventral horn motor neuron alpha,73.5,spike amplitude
309,Spinal cord ventral horn motor neuron alpha,61.7,spike amplitude
310,Spinal cord ventral horn motor neuron alpha,1.8,AHP amplitude
311,Trigeminal nucleus principal cell,0.61,input resistance
312,Trigeminal nucleus principal cell,-60.6,resting membrane potential
313,Trigeminal nucleus principal cell,1.2,spike half-width
314,Trigeminal nucleus principal cell,49.7,spike amplitude
315,Trigeminal nucleus principal cell,-32.9,spike threshold
316,Trigeminal nucleus principal cell,16.6,cell capacitance
317,Neocortex basket cell,88.0,spike amplitude
318,Neocortex basket cell,-40.5,spike threshold
319,Neocortex basket cell,0.54,spike half-width
320,Neocortex basket cell,18.2,AHP amplitude
321,Neocortex basket cell,20.9,first spike latency
322,Other,-46.0,spike threshold
323,Other,108.0,input resistance
324,Other,-62.0,resting membrane potential
325,Other,50.0,spike amplitude
326,Other,131.0,AHP duration
327,Other,19.0,AHP amplitude
328,Hippocampus CA3 pyramidal cell,-72.6,resting membrane potential
329,Hippocampus CA3 pyramidal cell,79.8,input resistance
330,Hippocampus CA3 pyramidal cell,-55.5,spike threshold
331,Hippocampus CA3 pyramidal cell,74.5,spike amplitude
332,Hippocampus CA3 pyramidal cell,4.5,fast AHP amplitude
333,Dorsal root ganglion cell,-27.79,spike threshold
334,Dorsal root ganglion cell,0.9,rheobase
335,Dorsal root ganglion cell,4.49,AHP duration
336,Dorsal root ganglion cell,56.1,spike amplitude
337,Dorsal root ganglion cell,3.26,spike width
338,Dorsal root ganglion cell,15.51,AHP amplitude
339,Neocortex pyramidal cell layer 2-3,1.1,spike half-width
340,Neocortex pyramidal cell layer 2-3,47.0,input resistance
341,Neocortex pyramidal cell layer 2-3,79.0,spike amplitude from resting
342,Neocortex pyramidal cell layer 2-3,31.3,input resistance
343,Neocortex pyramidal cell layer 2-3,7.2,membrane time constant
344,Neocortex pyramidal cell layer 2-3,-72.7,resting membrane potential
345,Neocortex pyramidal cell layer 2-3,1.56,spike half-width
346,Neocortex pyramidal cell layer 2-3,-48.5,spike threshold
347,Spinal cord ventral horn interneuron Renshaw,574.8,input resistance
348,Spinal cord ventral horn interneuron Renshaw,39.2,cell capacitance
349,Spinal cord ventral horn interneuron Renshaw,53.6,rheobase
350,Spinal cord ventral horn interneuron Renshaw,2.7,spike half-width
351,Spinal cord ventral horn interneuron Renshaw,17.4,AHP amplitude
352,Neocortex layer 4 stellate cell,-60.32,resting membrane potential
353,Neocortex layer 4 stellate cell,128.3,input resistance
354,Neocortex layer 4 stellate cell,-36.91,spike threshold
355,Neocortex layer 4 stellate cell,40.93,AHP duration
356,Neocortex layer 4 stellate cell,107.1,rheobase
357,Neocortex layer 4 stellate cell,-9.11,AHP amplitude
358,Neocortex uncharacterized cell,9.0,spontaneous firing rate
359,Neocortex uncharacterized cell,10.38,spike width
360,Spinal cord ventral horn interneuron V2,14.8,rheobase
361,Spinal cord ventral horn interneuron V2,26.7,spike amplitude
362,Spinal cord ventral horn interneuron V2,2.4,spike half-width
363,Spinal cord ventral horn interneuron V2,-32.2,spike threshold
364,Spinal cord ventral horn interneuron V2,18.7,AHP amplitude
365,Neocortex uncharacterized cell,-53.0,resting membrane potential
366,Neocortex uncharacterized cell,330.0,input resistance
367,Neocortex uncharacterized cell,103.0,rheobase
368,Neocortex uncharacterized cell,1.1,spike half-width
369,Neocortex uncharacterized cell,-38.0,spike threshold
370,Neocortex uncharacterized cell,49.0,spike peak
371,Neocortex uncharacterized cell,-55.0,resting membrane potential
372,Neocortex uncharacterized cell,295.0,input resistance
373,Neocortex uncharacterized cell,102.0,rheobase
374,Neocortex uncharacterized cell,1.2,spike half-width
375,Neocortex uncharacterized cell,-39.0,spike threshold
376,Neocortex basket cell,66.0,spike amplitude
377,Neocortex basket cell,-32.9,spike threshold
378,Neocortex basket cell,13.9,membrane time constant
379,Neocortex basket cell,246.0,input resistance
380,Neocortex basket cell,-68.4,resting membrane potential
381,Neocortex basket cell,0.7,spike half-width
382,Neocortex bipolar neuron,1.7,spike width
383,Neocortex bipolar neuron,7.5,AHP amplitude
384,Neocortex bipolar neuron,8.9,AHP amplitude
385,Neocortex bipolar neuron,1.6,spike width
386,Neocortex bipolar neuron,62.2,spike amplitude
387,Neocortex bipolar neuron,65.5,spike amplitude
388,Neocortex bipolar neuron,43.8,spike threshold
389,Neocortex bipolar neuron,67.1,resting membrane potential
390,Neocortex bipolar neuron,358.0,input resistance
391,Dentate gyrus granule cell,7.48,membrane time constant
392,Dentate gyrus granule cell,81.9,input resistance
393,Dentate gyrus granule cell,-75.5,resting membrane potential
394,Dentate gyrus granule cell,77.5,spike amplitude
395,Dentate gyrus granule cell,-46.7,spike threshold
396,Dentate gyrus granule cell,2.11,spike width
397,Subiculum pyramidal cell,-73.4,resting membrane potential
398,Subiculum pyramidal cell,57.5,input resistance
399,Subiculum pyramidal cell,93.9,spike amplitude
400,Subiculum pyramidal cell,0.72,spike half-width
401,Inferior olive neuron,103.8,spike amplitude
402,Inferior olive neuron,11.5,spike width
403,Inferior olive neuron,-50.0,resting membrane potential
404,Inferior olive neuron,11.3,membrane time constant
405,Inferior olive neuron,69.0,input resistance
406,Neostriatum medium spiny neuron,39.9,spike amplitude
407,Neostriatum medium spiny neuron,-34.3,spike threshold
408,Neostriatum medium spiny neuron,15.9,AHP duration
409,Neostriatum medium spiny neuron,233.0,input resistance
410,Neostriatum medium spiny neuron,208.0,first spike latency
411,Neostriatum medium spiny neuron,-12.6,AHP amplitude
412,Hippocampus CA1 radiatum giant cell,86.0,input resistance
413,Hippocampus CA1 radiatum giant cell,50.0,membrane time constant
414,Hippocampus CA1 radiatum giant cell,-63.0,resting membrane potential
415,Hippocampus CA1 radiatum giant cell,-31.0,spike threshold
416,Hippocampus CA1 radiatum giant cell,1.9,spike half-width
417,Dorsal root ganglion cell,23.6,cell diameter
418,Dorsal root ganglion cell,28.2,cell capacitance
419,Dorsal root ganglion cell,-53.5,resting membrane potential
420,Dorsal root ganglion cell,-21.4,spike threshold
421,Dorsal root ganglion cell,7.9,spike width
422,Cerebellum granule cell,3.9,cell capacitance
423,Cerebellum granule cell,-92.5,resting membrane potential
424,Cerebellum granule cell,-42.4,spike threshold
425,Cerebellum granule cell,22.5,spike peak
426,DRG temperature cell,18.8,cell diameter
427,DRG temperature cell,-53.0,resting membrane potential
428,DRG temperature cell,93.2,spike amplitude
429,DRG temperature cell,4.4,AHP amplitude from resting
430,Spinal cord ventral horn interneuron II,-62.8,resting membrane potential
431,Spinal cord ventral horn interneuron II,424.0,input resistance
432,Spinal cord ventral horn interneuron II,46.2,cell capacitance
433,Spinal cord ventral horn interneuron II,135.0,rheobase
434,Spinal cord ventral horn interneuron II,45.3,spike amplitude
435,Spinal cord ventral horn interneuron II,-43.8,spike threshold
436,Medial vestibular nucleus neuron,-61.5,resting membrane potential
437,Medial vestibular nucleus neuron,-47.3,spike threshold
438,Medial vestibular nucleus neuron,63.5,spike amplitude
439,Medial vestibular nucleus neuron,1.83,spike width
440,Medial vestibular nucleus neuron,20.8,AHP amplitude
441,Medial vestibular nucleus neuron,-61.2,resting membrane potential
442,Medial vestibular nucleus neuron,-46.0,spike threshold
443,Medial vestibular nucleus neuron,71.2,spike amplitude
444,Medial vestibular nucleus neuron,1.57,spike width
445,Medial vestibular nucleus neuron,22.4,AHP amplitude
446,Medial vestibular nucleus neuron,-53.2,resting membrane potential
447,Medial vestibular nucleus neuron,-42.3,spike threshold
448,Medial vestibular nucleus neuron,51.8,spike amplitude
449,Medial vestibular nucleus neuron,0.79,spike width
450,Medial vestibular nucleus neuron,17.8,AHP amplitude
451,DRG temperature cell,424.0,input resistance
452,DRG temperature cell,-60.0,resting membrane potential
453,DRG temperature cell,0.82,spike half-width
454,Nucleus accumbens medium spiny neuron,-93.5,resting membrane potential
455,Nucleus accumbens medium spiny neuron,-46.4,spike threshold
456,Nucleus accumbens medium spiny neuron,68.5,spike amplitude
457,Nucleus accumbens medium spiny neuron,1.3,spike half-width
458,Nucleus accumbens medium spiny neuron,9.4,AHP amplitude
459,Hypoglossal nucleus motor neuron,-53.2,resting membrane potential
460,Hypoglossal nucleus motor neuron,-27.4,spike threshold
461,Hypoglossal nucleus motor neuron,309.0,rheobase
462,Hypoglossal nucleus motor neuron,351.0,rheobase
463,Hypoglossal nucleus motor neuron,78.6,input resistance
464,Hypoglossal nucleus motor neuron,0.05,FI slope
465,Dentate gyrus granule cell,8.1,membrane time constant
466,Dentate gyrus granule cell,305.0,input resistance
467,Dentate gyrus granule cell,27.4,cell capacitance
468,Dentate gyrus granule cell,-42.0,spike threshold
469,Trigeminal nucleus motor neuron,0.84,rheobase
470,Trigeminal nucleus motor neuron,17.8,input resistance
471,Trigeminal nucleus motor neuron,6.7,membrane time constant
472,Trigeminal nucleus motor neuron,60.4,spike amplitude
473,Trigeminal nucleus motor neuron,-63.5,resting membrane potential
474,Hypoglossal nucleus motor neuron,-67.1,resting membrane potential
475,Hypoglossal nucleus motor neuron,9.3,input resistance
476,Hypoglossal nucleus motor neuron,97.3,spike amplitude
477,Hypoglossal nucleus motor neuron,9.1,ADP amplitude
478,Dentate gyrus granule cell,310.0,input resistance
479,Dentate gyrus granule cell,22.0,membrane time constant
480,Dentate gyrus granule cell,-32.0,spike threshold
481,Dentate gyrus granule cell,-71.0,resting membrane potential
482,Medial vestibular nucleus neuron,226.0,input resistance
483,Medial vestibular nucleus neuron,-45.7,resting membrane potential
484,Medial vestibular nucleus neuron,-35.5,spike threshold
485,Medial vestibular nucleus neuron,0.8,spike half-width
486,Medial vestibular nucleus neuron,15.7,AHP amplitude
487,Neocortex basket cell,16.0,access resistance
488,Neocortex basket cell,258.0,input resistance
489,Neocortex basket cell,115.0,cell capacitance
490,Neocortex basket cell,-59.1,resting membrane potential
491,Neocortex basket cell,-22.4,AHP amplitude
492,Dorsal root ganglion cell,355.0,input resistance
493,Dorsal root ganglion cell,65.0,spike amplitude
494,Dorsal root ganglion cell,-39.7,spike threshold
495,DRG temperature cell,340.0,input resistance
496,DRG temperature cell,-56.0,resting membrane potential
497,DRG temperature cell,52.0,rheobase
